State,Population,Area (Sq Miles)
Alabama,4833722,50744
Alaska,735132,571951.26
Arizona,6626624,113634.57
Arkansas,2959373,52068.17
California,38332521,155959.34
Colorado,5268367,103717.53
Connecticut,3596080,4844.8
Delaware,925749,1953.56
District of Columbia,646449,61.4
Florida,19552860,53926.82
Georgia,9992167,57906.14
Hawaii,1404054,6422.62
Idaho,1612136,82747.21
Illinois,12882135,55583.58
Indiana,6570902,35866.9
Iowa,3090416,55869.36
Kansas,2893957,81814.88
Kentucky,4395295,39728.18
Louisiana,4625470,43561.85
Maine,1328302,30861.55
Maryland,5928814,9773.82
Massachusetts,6692824,7840.02
Michigan,9895622,56803.82
Minnesota,5420380,79610.08
Mississippi,2991207,46906.96
Missouri,6044171,68885.93
Montana,1015165,145552.43
Nebraska,1868516,76872.41
Nevada,2790136,109825.99
New Hampshire,1323459,8968.1
New Jersey,8899339,7417.34
New Mexico,2085287,121355.53
New York,19651127,47213.79
North Carolina,9848060,48710.88
North Dakota,723393,68975.93
Ohio,11570808,40948.38
Oklahoma,3850568,68667.06
Oregon,3930065,95996.79
Pennsylvania,12773801,44816.61
Rhode Island,1051511,1044.93
South Carolina,4774839,30109.47
South Dakota,844877,75884.64
Tennessee,6495978,41217.12
Texas,26448193,261797.12
Utah,2900872,82143.65
Vermont,626630,9249.56
Virginia,8260405,39594.07
Washington,6971406,66544.06
West Virginia,1854304,24077.73
Wisconsin,5742713,54310.1
Wyoming,582658,97100.4
